lineNo,url,direction,from,to
115,https://tfl.gov.uk/bus/route/115?direction=outbound,outbound,East Ham / Central Park,Aldgate Station
115,https://tfl.gov.uk/bus/route/115?direction=inbound,inbound,Aldgate Bus Station,East Ham / Central Park
117,https://tfl.gov.uk/bus/route/117?direction=outbound,outbound,West Middlesex Hospital,Staines Bus Station
117,https://tfl.gov.uk/bus/route/117?direction=inbound,inbound,Staines Bus Station,West Middlesex Hospital
118,https://tfl.gov.uk/bus/route/118?direction=inbound,inbound,Morden Station,Brixton Station
118,https://tfl.gov.uk/bus/route/118?direction=outbound,outbound,Brixton Road / Brixton Police Station,Morden Station
119,https://tfl.gov.uk/bus/route/119?direction=outbound,outbound,Bromley North Station,The Colonnades / Croydon Airport
119,https://tfl.gov.uk/bus/route/119?direction=inbound,inbound,The Colonnades / Croydon Airport,Bromley North Station
116,https://tfl.gov.uk/bus/route/116?direction=outbound,outbound,Ashford Hospital,Hounslow Bus Station
120,https://tfl.gov.uk/bus/route/120?direction=outbound,outbound,Hounslow Bus Station,Northolt Station
116,https://tfl.gov.uk/bus/route/116?direction=inbound,inbound,School Road,Ashford Hospital
120,https://tfl.gov.uk/bus/route/120?direction=inbound,inbound,Northolt Station,Hounslow Bus Station
122,https://tfl.gov.uk/bus/route/122?direction=inbound,inbound,Crystal Palace Parade,Plumstead Bus Garage
122,https://tfl.gov.uk/bus/route/122?direction=outbound,outbound,Plumstead Road / Plumstead Station,Crystal Palace Parade
123,https://tfl.gov.uk/bus/route/123?direction=outbound,outbound,Lordship Lane,Hainault Street
121,https://tfl.gov.uk/bus/route/121?direction=outbound,outbound,Enfield Island Village,Turnpike Lane Station
121,https://tfl.gov.uk/bus/route/121?direction=inbound,inbound,Turnpike Lane Bus Station,Enfield Island Village
124,https://tfl.gov.uk/bus/route/124?direction=outbound,outbound,Stanstead Road / St Dunstans College,Southend Crescent / Southend Close
124,https://tfl.gov.uk/bus/route/124?direction=inbound,inbound,Holy Trinity Church,Stanstead Road / St Dunstans College
125,https://tfl.gov.uk/bus/route/125?direction=outbound,outbound,Station Road,Colindale Station
125,https://tfl.gov.uk/bus/route/125?direction=inbound,inbound,Colindale Station,Station Road
126,https://tfl.gov.uk/bus/route/126?direction=outbound,outbound,Ringers Road,Eltham High Street / Foots Cray Road
126,https://tfl.gov.uk/bus/route/126?direction=inbound,inbound,Holy Trinity Church,Ringers Road
127,https://tfl.gov.uk/bus/route/127?direction=outbound,outbound,Purley Station,Tooting Broadway Station
127,https://tfl.gov.uk/bus/route/127?direction=inbound,inbound,Mitcham Road / Tooting Broadway Stn,Purley Station
128,https://tfl.gov.uk/bus/route/128?direction=outbound,outbound,Romford Station,Claybury Broadway
128,https://tfl.gov.uk/bus/route/128?direction=inbound,inbound,Claybury Broadway,Romford Station
129,https://tfl.gov.uk/bus/route/129?direction=outbound,outbound,North Greenwich Station,Molesworth Street
129,https://tfl.gov.uk/bus/route/129?direction=inbound,inbound,Molesworth Street / Riverdale House,North Greenwich Station
130,https://tfl.gov.uk/bus/route/130?direction=inbound,inbound,Parchmore Road,Vulcan Way
130,https://tfl.gov.uk/bus/route/130?direction=outbound,outbound,Vulcan Way,Parchmore Road
123,https://tfl.gov.uk/bus/route/123?direction=inbound,inbound,Hainault Street,Wood Green Station
131,https://tfl.gov.uk/bus/route/131?direction=outbound,outbound,Fairfield Bus Station,Tooting Broadway Station
132,https://tfl.gov.uk/bus/route/132?direction=outbound,outbound,North Greenwich Station,Geddes Place
131,https://tfl.gov.uk/bus/route/131?direction=inbound,inbound,Tooting Broadway / Sth Thames College,Fairfield Bus Station
133,https://tfl.gov.uk/bus/route/133?direction=outbound,outbound,Streatham Station,Holborn Station
133,https://tfl.gov.uk/bus/route/133?direction=inbound,inbound,Procter Street,Streatham Station
132,https://tfl.gov.uk/bus/route/132?direction=inbound,inbound,Bexleyheath Clock Tower,North Greenwich Station
134,https://tfl.gov.uk/bus/route/134?direction=outbound,outbound,North Finchley Bus Station,University College Hospital / Euston Rd
134,https://tfl.gov.uk/bus/route/134?direction=inbound,inbound,University College Hospital / Euston Rd,Tally Ho Corner
135,https://tfl.gov.uk/bus/route/135?direction=outbound,outbound,Crossharbour Asda,Moorfields Eye Hospital
135,https://tfl.gov.uk/bus/route/135?direction=inbound,inbound,Old Street Station,Isle of Dogs Asda
136,https://tfl.gov.uk/bus/route/136?direction=inbound,inbound,Elephant & Castle / Newington Causeway,Grove Park Bus Station
