lineNo,url,direction,from,to
434,https://tfl.gov.uk/bus/route/434?direction=outbound,outbound,Ridgemount Avenue,Caterham Valley
433,https://tfl.gov.uk/bus/route/433?direction=outbound,outbound,Addington Village Interchange,Park Street
436,https://tfl.gov.uk/bus/route/436?direction=outbound,outbound,Molesworth Street / Riverdale House,Battersea Park Station
433,https://tfl.gov.uk/bus/route/433?direction=inbound,inbound,Croydon Library,Addington Village Interchange
439,https://tfl.gov.uk/bus/route/439?direction=inbound,inbound,Well Farm Road,Waddon Marsh
432,https://tfl.gov.uk/bus/route/432?direction=inbound,inbound,Anerley Station,Brixton Station
434,https://tfl.gov.uk/bus/route/434?direction=inbound,inbound,Caterham Valley,Ridgemount Avenue
439,https://tfl.gov.uk/bus/route/439?direction=outbound,outbound,Waddon Marsh,Wapses Lodge Roundabout
440,https://tfl.gov.uk/bus/route/440?direction=outbound,outbound,Turnham Green Church,First Way
436,https://tfl.gov.uk/bus/route/436?direction=inbound,inbound,Battersea Park Station,Molesworth Street
440,https://tfl.gov.uk/bus/route/440?direction=inbound,inbound,First Way,Turnham Green Church
444,https://tfl.gov.uk/bus/route/444?direction=inbound,inbound,Chingford Station,Turnpike Lane Bus Station
444,https://tfl.gov.uk/bus/route/444?direction=outbound,outbound,Turnpike Lane Bus Station,Chingford Station
452,https://tfl.gov.uk/bus/route/452?direction=outbound,outbound,Ladbroke Grove Sainsbury's,Vauxhall Bus Station
453,https://tfl.gov.uk/bus/route/453?direction=outbound,outbound,Deptford Bridge Station,Great Central Street
452,https://tfl.gov.uk/bus/route/452?direction=inbound,inbound,Vauxhall Bus Station,Ladbroke Grove Sainsbury's
450,https://tfl.gov.uk/bus/route/450?direction=outbound,outbound,West Croydon Bus Station,Bell Green / Sainsbury's
456,https://tfl.gov.uk/bus/route/456?direction=outbound,outbound,Crews Hill,North Middlesex Hospital
456,https://tfl.gov.uk/bus/route/456?direction=inbound,inbound,Bull Lane / North Middlesex Hospital,Crews Hill
460,https://tfl.gov.uk/bus/route/460?direction=inbound,inbound,North Finchley Bus Station,Pound Lane
460,https://tfl.gov.uk/bus/route/460?direction=outbound,outbound,Pound Lane / Willesden Bus Garage,North Finchley Bus Station
462,https://tfl.gov.uk/bus/route/462?direction=inbound,inbound,Hainault Street,Limes Farm / Copperfield
463,https://tfl.gov.uk/bus/route/463?direction=outbound,outbound,Coulsdon South Station,Pollards Hill
463,https://tfl.gov.uk/bus/route/463?direction=inbound,inbound,South Lodge Avenue / Yorkshire Road,Coulsdon South Station
450,https://tfl.gov.uk/bus/route/450?direction=inbound,inbound,Bell Green / Sainsbury's,West Croydon Bus Station
453,https://tfl.gov.uk/bus/route/453?direction=inbound,inbound,Great Central Street,Deptford Bridge
464,https://tfl.gov.uk/bus/route/464?direction=outbound,outbound,Tatsfield Village / Old Ship,New Addington Tram Stop
462,https://tfl.gov.uk/bus/route/462?direction=outbound,outbound,Limes Farm / Copperfield,Hainault Street
464,https://tfl.gov.uk/bus/route/464?direction=inbound,inbound,New Addington Tram Stop,Tatsfield Village / Old Ship
465,https://tfl.gov.uk/bus/route/465?direction=inbound,inbound,Townfield Court,Eden Street
467,https://tfl.gov.uk/bus/route/467?direction=outbound,outbound,Hinchley Wood School,Epsom Hospital
466,https://tfl.gov.uk/bus/route/466?direction=inbound,inbound,Westway,Lacey Drive
466,https://tfl.gov.uk/bus/route/466?direction=outbound,outbound,Addington Village Interchange,Westway
469,https://tfl.gov.uk/bus/route/469?direction=inbound,inbound,Erith Town Centre / Riverside,Queen Elizabeth Hospital / West Entrance
465,https://tfl.gov.uk/bus/route/465?direction=outbound,outbound,Cromwell Road Bus Station,South Street / Rose Hill
469,https://tfl.gov.uk/bus/route/469?direction=outbound,outbound,Queen Elizabeth Hospital / West Entrance,Erith Town Centre / Riverside
467,https://tfl.gov.uk/bus/route/467?direction=inbound,inbound,Epsom Hospital,Hinchley Wood School
468,https://tfl.gov.uk/bus/route/468?direction=outbound,outbound,Swan & Sugar Loaf,Borough Road
468,https://tfl.gov.uk/bus/route/468?direction=inbound,inbound,Borough Road,Warham Road / Brighton Road
470,https://tfl.gov.uk/bus/route/470?direction=outbound,outbound,Colliers Wood Station,Sutton Station
470,https://tfl.gov.uk/bus/route/470?direction=inbound,inbound,Sutton Station,Colliers Wood Station
472,https://tfl.gov.uk/bus/route/472?direction=outbound,outbound,North Greenwich Station,Gayton Road / Abbey Wood Station
473,https://tfl.gov.uk/bus/route/473?direction=outbound,outbound,North Woolwich Ferry,Stratford Bus Station
472,https://tfl.gov.uk/bus/route/472?direction=inbound,inbound,Gayton Road / Abbey Wood Station,North Greenwich Station
473,https://tfl.gov.uk/bus/route/473?direction=inbound,inbound,Stratford Bus Station,North Woolwich Ferry
474,https://tfl.gov.uk/bus/route/474?direction=inbound,inbound,Manor Park Station,Hermit Road
476,https://tfl.gov.uk/bus/route/476?direction=outbound,outbound,Northumberland Park,King's Cross Station / York Way
476,https://tfl.gov.uk/bus/route/476?direction=inbound,inbound,Wharfdale Road / London Canal Museum,Northumberland Park
474,https://tfl.gov.uk/bus/route/474?direction=outbound,outbound,Hermit Road,Manor Park Station
481,https://tfl.gov.uk/bus/route/481?direction=outbound,outbound,Kingston Station,West London Mental Health Trust
482,https://tfl.gov.uk/bus/route/482?direction=inbound,inbound,Heathrow Terminal 5,Southall Town Hall
481,https://tfl.gov.uk/bus/route/481?direction=inbound,inbound,West London Mental Health Trust,Kingston / Wood Street
482,https://tfl.gov.uk/bus/route/482?direction=outbound,outbound,Southall Broadway,Heathrow Terminal 5
484,https://tfl.gov.uk/bus/route/484?direction=outbound,outbound,Lewisham Station,Denmark Hill / Camberwell Green
483,https://tfl.gov.uk/bus/route/483?direction=inbound,inbound,Harrow Bus Station,Windmill Lane / Three Bridges
484,https://tfl.gov.uk/bus/route/484?direction=inbound,inbound,Denmark Hill / Camberwell Green,Lewisham Station
485,https://tfl.gov.uk/bus/route/485?direction=outbound,outbound,Lonsdale Road,The Wetlands Centre
483,https://tfl.gov.uk/bus/route/483?direction=outbound,outbound,Three Bridges / Windmill Lane,Harrow Bus Station
485,https://tfl.gov.uk/bus/route/485?direction=inbound,inbound,Wandsworth / Southside,The Wetlands Centre
486,https://tfl.gov.uk/bus/route/486?direction=outbound,outbound,North Greenwich Station,Friswell Place
486,https://tfl.gov.uk/bus/route/486?direction=inbound,inbound,Bexleyheath Clock Tower,North Greenwich Station
487,https://tfl.gov.uk/bus/route/487?direction=outbound,outbound,South Harrow Bus Station,Willesden Junction Station
487,https://tfl.gov.uk/bus/route/487?direction=inbound,inbound,Willesden Junction Station,South Harrow Bus Station
488,https://tfl.gov.uk/bus/route/488?direction=inbound,inbound,Dalston Junction Station,Hancock Road
490,https://tfl.gov.uk/bus/route/490?direction=outbound,outbound,Pools on the Park,Heathrow Terminal 5
490,https://tfl.gov.uk/bus/route/490?direction=inbound,inbound,Heathrow Terminal 5,Pools on the Park
488,https://tfl.gov.uk/bus/route/488?direction=outbound,outbound,Hancock Road,Forest Road
491,https://tfl.gov.uk/bus/route/491?direction=inbound,inbound,North Middlesex Hospital,Waltham Cross Bus Station
493,https://tfl.gov.uk/bus/route/493?direction=outbound,outbound,St George's / University of London,Richmond Bus Station
493,https://tfl.gov.uk/bus/route/493?direction=inbound,inbound,George Street,St George's / University of London
492,https://tfl.gov.uk/bus/route/492?direction=outbound,outbound,Sidcup Station,Bluewater Shopping Centre
492,https://tfl.gov.uk/bus/route/492?direction=inbound,inbound,Bluewater Shopping Centre,Sidcup Station
491,https://tfl.gov.uk/bus/route/491?direction=outbound,outbound,Waltham Cross Bus Station,North Middlesex Hospital
498,https://tfl.gov.uk/bus/route/498?direction=outbound,outbound,Queen's Hospital,Brentwood Sainsbury's
496,https://tfl.gov.uk/bus/route/496?direction=inbound,inbound,Queen's Hospital,Harold Wood Station
496,https://tfl.gov.uk/bus/route/496?direction=outbound,outbound,Harold Wood Station,Queen's Hospital
498,https://tfl.gov.uk/bus/route/498?direction=inbound,inbound,Brentwood Sainsbury's,Queen's Hospital
499,https://tfl.gov.uk/bus/route/499?direction=inbound,inbound,Stansgate Road Shops,Gallows Corner / Tesco
499,https://tfl.gov.uk/bus/route/499?direction=outbound,outbound,Gallows Corner / Tesco,Stansgate Road Shops
533,https://tfl.gov.uk/bus/route/533?direction=inbound,inbound,Lonsdale Road,Hammersmith Bus Station
533,https://tfl.gov.uk/bus/route/533?direction=outbound,outbound,Hammersmith Bus Station,Lonsdale Road
549,https://tfl.gov.uk/bus/route/549?direction=outbound,outbound,South Woodford Station,Loughton Station
549,https://tfl.gov.uk/bus/route/549?direction=inbound,inbound,Loughton Station,South Woodford Station
601,https://tfl.gov.uk/bus/route/601?direction=outbound,outbound,Thamesmead Town Centre,Wilmington Hall School
605,https://tfl.gov.uk/bus/route/605?direction=outbound,outbound,Burnt Oak Station,Totteridge & Whetstone Station
605,https://tfl.gov.uk/bus/route/605?direction=inbound,inbound,Totteridge & Whetstone Stn,Burnt Oak Station
616,https://tfl.gov.uk/bus/route/616?direction=outbound,outbound,Old Park Ridings,Edmonton Green Bus Station
625,https://tfl.gov.uk/bus/route/625?direction=inbound,inbound,Bromley Lane / Chislehurst War Memorial,Warwick Terrace / Plumstead Common Road
603,https://tfl.gov.uk/bus/route/603?direction=outbound,outbound,Princes Avenue,Swiss Cottage Station
606,https://tfl.gov.uk/bus/route/606?direction=outbound,outbound,Queensbury Station,The Totteridge Academy
603,https://tfl.gov.uk/bus/route/603?direction=inbound,inbound,Swiss Cottage Station,Muswell Hill
617,https://tfl.gov.uk/bus/route/617?direction=outbound,outbound,Turnpike Lane Bus Station,Turkey Street Station
618,https://tfl.gov.uk/bus/route/618?direction=outbound,outbound,Easedale House,Bolder Academy
606,https://tfl.gov.uk/bus/route/606?direction=inbound,inbound,The Totteridge Academy,Queensbury Station
626,https://tfl.gov.uk/bus/route/626?direction=inbound,inbound,Dame Alice Owen's School,Finchley Central Station
608,https://tfl.gov.uk/bus/route/608?direction=outbound,outbound,Gallows Corner,Shenfield High School
621,https://tfl.gov.uk/bus/route/621?direction=outbound,outbound,Lewisham Station,Bexley Road / Crown Woods School
625,https://tfl.gov.uk/bus/route/625?direction=outbound,outbound,Warwick Terrace / Plumstead Common Road,Bromley Lane / Chislehurst War Memorial
608,https://tfl.gov.uk/bus/route/608?direction=inbound,inbound,Shenfield High School,Gallows Corner
601,https://tfl.gov.uk/bus/route/601?direction=inbound,inbound,Wilmington Boys School,Thamesmead Town Centre
629,https://tfl.gov.uk/bus/route/629?direction=outbound,outbound,Haringey Civic Centre,Turkey Street Station
612,https://tfl.gov.uk/bus/route/612?direction=outbound,outbound,Selsdon Library,The Holt
618,https://tfl.gov.uk/bus/route/618?direction=inbound,inbound,Bolder Academy,Easedale House
616,https://tfl.gov.uk/bus/route/616?direction=inbound,inbound,Edmonton Green Bus Station,Old Park Ridings
617,https://tfl.gov.uk/bus/route/617?direction=inbound,inbound,Turkey Street Station,Turnpike Lane Bus Station
612,https://tfl.gov.uk/bus/route/612?direction=inbound,inbound,Wallington County Grammar School,Farley Road
626,https://tfl.gov.uk/bus/route/626?direction=outbound,outbound,Dollis Park / Finchley Central Stn,Dame Alice Owen's School
624,https://tfl.gov.uk/bus/route/624?direction=inbound,inbound,Bexley Road / Crown Woods School,Grove Park Station
621,https://tfl.gov.uk/bus/route/621?direction=inbound,inbound,Bexley Road / Crown Woods School,Lewisham Station
613,https://tfl.gov.uk/bus/route/613?direction=outbound,outbound,Tolworth Station,Glenthorne High School
602,https://tfl.gov.uk/bus/route/602?direction=outbound,outbound,Thamesmead Town Centre,Townley Grammar School
627,https://tfl.gov.uk/bus/route/627?direction=outbound,outbound,Worcester Park Station,Woodcote Green
627,https://tfl.gov.uk/bus/route/627?direction=inbound,inbound,Woodcote Green,Worcester Park Station
624,https://tfl.gov.uk/bus/route/624?direction=outbound,outbound,Grove Park Station,Welling Library
631,https://tfl.gov.uk/bus/route/631?direction=outbound,outbound,Golders Green Station,Henrietta Barnett School
628,https://tfl.gov.uk/bus/route/628?direction=outbound,outbound,Jewish Free School,Southgate Station
631,https://tfl.gov.uk/bus/route/631?direction=inbound,inbound,Henrietta Barnett School,Golders Green Station
613,https://tfl.gov.uk/bus/route/613?direction=inbound,inbound,Glenthorne High School,Tolworth Station
602,https://tfl.gov.uk/bus/route/602?direction=inbound,inbound,Townley Grammar School,Thamesmead Town Centre
629,https://tfl.gov.uk/bus/route/629?direction=inbound,inbound,Turkey Street Station,Wood Green Bus Garage
632,https://tfl.gov.uk/bus/route/632?direction=outbound,outbound,South Mead,Kilburn Park Station
632,https://tfl.gov.uk/bus/route/632?direction=inbound,inbound,Kilburn Park Station,South Mead
633,https://tfl.gov.uk/bus/route/633?direction=inbound,inbound,Ivy Gardens,Coulsdon South Station
633,https://tfl.gov.uk/bus/route/633?direction=outbound,outbound,Coulsdon South Station,South Lodge Avenue / Yorkshire Road
634,https://tfl.gov.uk/bus/route/634?direction=outbound,outbound,Queens Avenue,Galley Lane
634,https://tfl.gov.uk/bus/route/634?direction=inbound,inbound,Galley Lane,Muswell Hill
635,https://tfl.gov.uk/bus/route/635?direction=outbound,outbound,St Paul's School,Hounslow Bus Station
638,https://tfl.gov.uk/bus/route/638?direction=inbound,inbound,Kemnal Technology College,Beaverwood Road
639,https://tfl.gov.uk/bus/route/639?direction=inbound,inbound,St John Bosco College,Minstead Gardens
639,https://tfl.gov.uk/bus/route/639?direction=outbound,outbound,Danebury Avenue / Minstead Gardens,St John Bosco College
635,https://tfl.gov.uk/bus/route/635?direction=inbound,inbound,School Road,St Paul's School
640,https://tfl.gov.uk/bus/route/640?direction=outbound,outbound,South Harrow Station,Bentley Wood High School
638,https://tfl.gov.uk/bus/route/638?direction=outbound,outbound,Addington Road / Glebe Way,Kemnal Technology College
640,https://tfl.gov.uk/bus/route/640?direction=inbound,inbound,Bentley Wood High School,South Harrow Bus Station
642,https://tfl.gov.uk/bus/route/642?direction=inbound,inbound,London Academy,West Hendon Broadway / Herbert Road
642,https://tfl.gov.uk/bus/route/642?direction=outbound,outbound,West Hendon Broadway / Herbert Road,St Margarets Church
643,https://tfl.gov.uk/bus/route/643?direction=outbound,outbound,Brent Cross Shopping Centre,Christ's College
645,https://tfl.gov.uk/bus/route/645?direction=inbound,inbound,Courtney Road,Purley Cross
643,https://tfl.gov.uk/bus/route/643?direction=inbound,inbound,Christ's College,Brent Cross Shopping Centre
645,https://tfl.gov.uk/bus/route/645?direction=outbound,outbound,Purley Library,Purley Way / Waddon Road
646,https://tfl.gov.uk/bus/route/646?direction=inbound,inbound,Moor Lane,Wincanton Road
646,https://tfl.gov.uk/bus/route/646?direction=outbound,outbound,Wincanton Road,Moor Lane
649,https://tfl.gov.uk/bus/route/649?direction=outbound,outbound,Romford Bus Garage,The Campion School
649,https://tfl.gov.uk/bus/route/649?direction=inbound,inbound,The Campion School,Cedar Road
650,https://tfl.gov.uk/bus/route/650?direction=outbound,outbound,Romford Bus Garage,Emerson Park Academy
650,https://tfl.gov.uk/bus/route/650?direction=inbound,inbound,Emerson Park Academy,Cedar Road
651,https://tfl.gov.uk/bus/route/651?direction=outbound,outbound,Romford Station,Chase Cross
652,https://tfl.gov.uk/bus/route/652?direction=outbound,outbound,Abbey Wood Lane,Upminster Station
652,https://tfl.gov.uk/bus/route/652?direction=inbound,inbound,Upminster Stn / St Lawrence Road,Abbey Wood Lane
653,https://tfl.gov.uk/bus/route/653?direction=outbound,outbound,Princes Avenue,Jewish Free School
653,https://tfl.gov.uk/bus/route/653?direction=inbound,inbound,Jewish Free School,Muswell Hill
651,https://tfl.gov.uk/bus/route/651?direction=inbound,inbound,Chase Cross,Romford Station
654,https://tfl.gov.uk/bus/route/654?direction=outbound,outbound,Addington Village Interchange,Eldred Drive
655,https://tfl.gov.uk/bus/route/655?direction=inbound,inbound,Raynes Park High School,Love Lane
656,https://tfl.gov.uk/bus/route/656?direction=inbound,inbound,Gallows Corner / Tesco,Emerson Park Academy
656,https://tfl.gov.uk/bus/route/656?direction=outbound,outbound,Emerson Park Academy,Gallows Corner / Tesco
657,https://tfl.gov.uk/bus/route/657?direction=outbound,outbound,Salisbury Hall Sainsbury's,Bancroft's School
655,https://tfl.gov.uk/bus/route/655?direction=outbound,outbound,Love Lane,Raynes Park High School
657,https://tfl.gov.uk/bus/route/657?direction=inbound,inbound,Bancroft's School,Salisbury Hall Sainsbury's
654,https://tfl.gov.uk/bus/route/654?direction=inbound,inbound,Quilter Road,Addington Village Interchange
658,https://tfl.gov.uk/bus/route/658?direction=outbound,outbound,Bexley Road / Crown Woods School,Beresford Sq / Woolwich Arsenal Stn
660,https://tfl.gov.uk/bus/route/660?direction=outbound,outbound,Newquay Road,Bexley Road / Crown Woods School
661,https://tfl.gov.uk/bus/route/661?direction=outbound,outbound,Station Square / Petts Wood Station,Centre Common Road / War Memorial
660,https://tfl.gov.uk/bus/route/660?direction=inbound,inbound,Bexley Road / Crown Woods School,Catford Garage
661,https://tfl.gov.uk/bus/route/661?direction=inbound,inbound,Centre Common Road / War Memorial,Station Square / Petts Wood Station
658,https://tfl.gov.uk/bus/route/658?direction=inbound,inbound,Woolwich Arsenal Station,Stationers' Crown Woods Academy
662,https://tfl.gov.uk/bus/route/662?direction=outbound,outbound,Surbiton Station,Sandal Road / Holy Cross School
662,https://tfl.gov.uk/bus/route/662?direction=inbound,inbound,Sandal Road / Holy Cross School,Claremont Road / Surbiton Station
663,https://tfl.gov.uk/bus/route/663?direction=inbound,inbound,St Giles School,Thornton Heath Station
664,https://tfl.gov.uk/bus/route/664?direction=outbound,outbound,Charles Darwin School,Homestead Way / Milne Park
663,https://tfl.gov.uk/bus/route/663?direction=outbound,outbound,Thornton Heath Station,Regina Coeli School
665,https://tfl.gov.uk/bus/route/665?direction=outbound,outbound,Berrylands Road,Sandal Road / Holy Cross School
665,https://tfl.gov.uk/bus/route/665?direction=inbound,inbound,Sandal Road / Holy Cross School,Howard Road
664,https://tfl.gov.uk/bus/route/664?direction=inbound,inbound,Homestead Way / Milne Park,Charles Darwin School
667,https://tfl.gov.uk/bus/route/667?direction=inbound,inbound,West Hatch School,Hainault Street
667,https://tfl.gov.uk/bus/route/667?direction=outbound,outbound,Hainault Street,Club House
669,https://tfl.gov.uk/bus/route/669?direction=inbound,inbound,Cleeve Park School,Thamesmead Town Centre
670,https://tfl.gov.uk/bus/route/670?direction=outbound,outbound,Danebury Avenue / Minstead Gardens,St John Bosco College
671,https://tfl.gov.uk/bus/route/671?direction=outbound,outbound,Tiffin Girls School,Chessington South Station
671,https://tfl.gov.uk/bus/route/671?direction=inbound,inbound,Chessington South Station,Tiffin Girls School
669,https://tfl.gov.uk/bus/route/669?direction=outbound,outbound,Thamesmead Town Centre,Bexley Lane / Cleeve Park School
673,https://tfl.gov.uk/bus/route/673?direction=outbound,outbound,Pemberton Gardens,Beckton Bus Station
674,https://tfl.gov.uk/bus/route/674?direction=outbound,outbound,Dagnam Park Square,Romford Station
674,https://tfl.gov.uk/bus/route/674?direction=inbound,inbound,Romford Station,Dagnam Park Square
675,https://tfl.gov.uk/bus/route/675?direction=inbound,inbound,Broadmead Road,St James Street Station
675,https://tfl.gov.uk/bus/route/675?direction=outbound,outbound,St James Street Station,Vernon Avenue
677,https://tfl.gov.uk/bus/route/677?direction=inbound,inbound,The Broadway,Hainault Street
678,https://tfl.gov.uk/bus/route/678?direction=outbound,outbound,St George's Road,Beckton Bus Station
679,https://tfl.gov.uk/bus/route/679?direction=outbound,outbound,Bancroft's School,Goodmayes Lane
670,https://tfl.gov.uk/bus/route/670?direction=inbound,inbound,St John Bosco College,Minstead Gardens
679,https://tfl.gov.uk/bus/route/679?direction=inbound,inbound,Goodmayes Lane,St Thomas of Canterbury Church
681,https://tfl.gov.uk/bus/route/681?direction=outbound,outbound,Hounslow Bus Station,Broom Road / Teddington School
677,https://tfl.gov.uk/bus/route/677?direction=outbound,outbound,Hainault Street,The Broadway
678,https://tfl.gov.uk/bus/route/678?direction=inbound,inbound,Beckton Bus Station,Stratford Bus Station
681,https://tfl.gov.uk/bus/route/681?direction=inbound,inbound,Broom Road / Teddington School,Hounslow Bus Station
683,https://tfl.gov.uk/bus/route/683?direction=inbound,inbound,Jewish Free School,Colney Hatch Lane
683,https://tfl.gov.uk/bus/route/683?direction=outbound,outbound,Colney Hatch Lane,Jewish Free School
684,https://tfl.gov.uk/bus/route/684?direction=outbound,outbound,Orpington Bus Station,Charles Darwin School
685,https://tfl.gov.uk/bus/route/685?direction=outbound,outbound,Tithepit Shaw Lane,Farley Road
686,https://tfl.gov.uk/bus/route/686?direction=inbound,inbound,Romford Station,St Edward's School
687,https://tfl.gov.uk/bus/route/687?direction=inbound,inbound,Barking Station,Ridgewell Close
686,https://tfl.gov.uk/bus/route/686?direction=outbound,outbound,St Edward's School,Stratton Road
687,https://tfl.gov.uk/bus/route/687?direction=outbound,outbound,Ridgewell Close,Barking Station
688,https://tfl.gov.uk/bus/route/688?direction=outbound,outbound,Southgate Station,Jewish Free School
689,https://tfl.gov.uk/bus/route/689?direction=outbound,outbound,West Croydon Bus Station,Glade Gardens
684,https://tfl.gov.uk/bus/route/684?direction=inbound,inbound,Charles Darwin School,Orpington Station
688,https://tfl.gov.uk/bus/route/688?direction=inbound,inbound,Jewish Free School,Southgate Station
690,https://tfl.gov.uk/bus/route/690?direction=outbound,outbound,St Julian's Farm Road,Burntwood School
690,https://tfl.gov.uk/bus/route/690?direction=inbound,inbound,Burntwood School,Norwood Bus Garage
689,https://tfl.gov.uk/bus/route/689?direction=inbound,inbound,Glade Gardens,West Croydon Bus Station
696,https://tfl.gov.uk/bus/route/696?direction=outbound,outbound,Conway Drive,Hume Way
696,https://tfl.gov.uk/bus/route/696?direction=inbound,inbound,Hume Way,Conway Drive
697,https://tfl.gov.uk/bus/route/697?direction=inbound,inbound,Douay Martyrs School,Balmoral Drive
697,https://tfl.gov.uk/bus/route/697?direction=outbound,outbound,Whittington Avenue,Ickenham Station
698,https://tfl.gov.uk/bus/route/698?direction=outbound,outbound,Ferrers Avenue,Ickenham Station
698,https://tfl.gov.uk/bus/route/698?direction=inbound,inbound,Douay Martyrs School,Ferrers Avenue
699,https://tfl.gov.uk/bus/route/699?direction=outbound,outbound,Green Dragon Lane,Dame Alice Owen's School
699,https://tfl.gov.uk/bus/route/699?direction=inbound,inbound,Dame Alice Owen's School,Green Dragon Lane
a10,https://tfl.gov.uk/bus/route/a10?direction=outbound,outbound,Uxbridge Station,Heathrow Central Bus Station
a10,https://tfl.gov.uk/bus/route/a10?direction=inbound,inbound,Heathrow Central Bus Station,Belmont Road
b14,https://tfl.gov.uk/bus/route/b14?direction=outbound,outbound,Bexleyheath Library,Orpington Station
b15,https://tfl.gov.uk/bus/route/b15?direction=outbound,outbound,Bexleyheath Clock Tower,Horncastle Road
b13,https://tfl.gov.uk/bus/route/b13?direction=outbound,outbound,Bexleyheath Library,New Eltham Station / Southwood Road
b11,https://tfl.gov.uk/bus/route/b11?direction=outbound,outbound,Bexleyheath Bus Garage,Plymstock Road
b12,https://tfl.gov.uk/bus/route/b12?direction=outbound,outbound,Erith Town Centre / Riverside,Winchelsea Avenue
b14,https://tfl.gov.uk/bus/route/b14?direction=inbound,inbound,Orpington Bus Station,Bexleyheath Library
b13,https://tfl.gov.uk/bus/route/b13?direction=inbound,inbound,New Eltham Station / Southwood Road,Bexleyheath Library
b11,https://tfl.gov.uk/bus/route/b11?direction=inbound,inbound,Yarnton Way / Harrow Manorway,Bexleyheath Bus Garage
b16,https://tfl.gov.uk/bus/route/b16?direction=outbound,outbound,Bexleyheath Bus Garage,Tudway Road / Sutcliffe Park
b12,https://tfl.gov.uk/bus/route/b12?direction=inbound,inbound,St Mary's Road,The Pantiles
b15,https://tfl.gov.uk/bus/route/b15?direction=inbound,inbound,Horncastle Road,Friswell Place
b16,https://tfl.gov.uk/bus/route/b16?direction=inbound,inbound,Wingfield School,Tudway Road / Sutcliffe Park
c1,https://tfl.gov.uk/bus/route/c1?direction=outbound,outbound,Victoria Station,White City Bus Station
c1,https://tfl.gov.uk/bus/route/c1?direction=inbound,inbound,White City Bus Station,Victoria Station
c3,https://tfl.gov.uk/bus/route/c3?direction=inbound,inbound,West Cromwell Road,Clapham Junction Stn / the Falcon
c11,https://tfl.gov.uk/bus/route/c11?direction=outbound,outbound,Archway Station,Brent Cross Shopping Centre
c10,https://tfl.gov.uk/bus/route/c10?direction=outbound,outbound,Canada Water Bus Station,Victoria Station
c11,https://tfl.gov.uk/bus/route/c11?direction=inbound,inbound,Brent Cross Shopping Centre,Archway Station
c3,https://tfl.gov.uk/bus/route/c3?direction=outbound,outbound,Clapham Junction Station / Falcon Road,Warwick Road Tesco
c10,https://tfl.gov.uk/bus/route/c10?direction=inbound,inbound,Victoria Station,Canada Water Bus Station
d3,https://tfl.gov.uk/bus/route/d3?direction=outbound,outbound,Bonner Road,Leamouth / Orchard Place
d3,https://tfl.gov.uk/bus/route/d3?direction=inbound,inbound,Leamouth / Orchard Place,Bonner Road
d6,https://tfl.gov.uk/bus/route/d6?direction=outbound,outbound,King Edward's Road,Isle of Dogs Asda
d6,https://tfl.gov.uk/bus/route/d6?direction=inbound,inbound,Crossharbour Asda,Mare Street / Victoria Park Road
d7,https://tfl.gov.uk/bus/route/d7?direction=inbound,inbound,Mile End Station / Bow Road,Poplar / All Saints Church
d8,https://tfl.gov.uk/bus/route/d8?direction=inbound,inbound,Crossharbour Asda,Stratford Bus Station
d8,https://tfl.gov.uk/bus/route/d8?direction=outbound,outbound,Stratford Bus Station,Isle of Dogs Asda
d7,https://tfl.gov.uk/bus/route/d7?direction=outbound,outbound,Poplar / All Saints Church,Mile End Station
e1,https://tfl.gov.uk/bus/route/e1?direction=inbound,inbound,Ealing Broadway Stn / Haven Green,Clifton Road
e5,https://tfl.gov.uk/bus/route/e5?direction=inbound,inbound,Perivale Tesco,Toplocks Estate / Glade Lane
e9,https://tfl.gov.uk/bus/route/e9?direction=outbound,outbound,Welbeck Avenue,Haven Grn / Ealing Broadway Stn
e10,https://tfl.gov.uk/bus/route/e10?direction=outbound,outbound,Islip Manor Road,Haven Grn / Ealing Broadway Stn
e2,https://tfl.gov.uk/bus/route/e2?direction=outbound,outbound,Commerce Road / Brentford Lock,Clifton Road
e3,https://tfl.gov.uk/bus/route/e3?direction=outbound,outbound,Clifton Road,Edensor Road / New Chiswick Pool
e8,https://tfl.gov.uk/bus/route/e8?direction=inbound,inbound,Ealing Broadway Station,Bell Corner / Hounslow Civic Centre
e1,https://tfl.gov.uk/bus/route/e1?direction=outbound,outbound,Clifton Road,Haven Grn / Ealing Broadway Stn
e8,https://tfl.gov.uk/bus/route/e8?direction=outbound,outbound,The Bell,Ealing Broadway Station / Haven Green
e2,https://tfl.gov.uk/bus/route/e2?direction=inbound,inbound,Clifton Road,Brentford Bus Depot
e10,https://tfl.gov.uk/bus/route/e10?direction=inbound,inbound,Ealing Broadway Stn / Haven Green,Islip Manor Road
e11,https://tfl.gov.uk/bus/route/e11?direction=inbound,inbound,The Common / Warwick Dene,Clifton Road
e9,https://tfl.gov.uk/bus/route/e9?direction=inbound,inbound,Ealing Broadway Stn / Haven Green,Welbeck Avenue
e6,https://tfl.gov.uk/bus/route/e6?direction=outbound,outbound,Greenford Broadway,Bulls Bridge Tesco
e3,https://tfl.gov.uk/bus/route/e3?direction=inbound,inbound,Edensor Road / New Chiswick Pool,Clifton Road
e7,https://tfl.gov.uk/bus/route/e7?direction=inbound,inbound,Ealing Broadway Station,Ruislip Station
e7,https://tfl.gov.uk/bus/route/e7?direction=outbound,outbound,Ruislip Station,Ealing Broadway Station / Haven Green
